,decimalLongitude,decimalLatitude
493,142.343404,-12.287032
390,142.433358,-11.440481
257,142.490148,-10.778277
392,142.516029,-10.730874
245,142.543258,-10.770469
319,142.587039,-10.779835
352,142.69485,-11.7111
380,142.734445,-11.637943
244,142.766452,-11.596964
267,143.105744,-12.75451
446,143.244452,-12.73917
307,143.25279,-12.74014
298,143.312643,-12.781259
259,143.318403,-12.717808
279,143.331533,-13.73141
289,143.339787,-13.73725
67,144.326189,-38.169199
589,144.794,-37.88
444,144.812001,-16.015569
415,144.813064,-15.242509
486,144.882814,-16.46969
576,144.904,-37.786
74,144.928895,-37.729428
146,144.956386,-37.791734
596,144.977,-37.828
590,144.984,-37.847
586,144.997,-37.742
419,144.997426,-15.253978
585,144.999,-37.88
536,145.004902,-15.300209
332,145.00697,-16.23287
92,145.008042,-37.944903
592,145.013,-37.891
580,145.017,-37.805
475,145.031202,-15.371756
581,145.034,-37.846
525,145.04018,-16.25508
473,145.056562,-15.412332
261,145.06025,-15.618179
232,145.0666,-15.670797
460,145.06853,-16.2776
570,145.075322,-15.119149
578,145.079,-37.898
591,145.079,-37.828
420,145.08929,-16.29331
192,145.091095,-37.97612
588,145.099,-37.72
577,145.108,-37.861
522,145.113776,-15.288758
287,145.115927,-15.682505
583,145.133,-37.881
277,145.135622,-15.181622
593,145.154,-37.837
464,145.157476,-15.710732
509,145.157729,-16.469665
495,145.158951,-15.272085
476,145.170549,-15.680586
535,145.186319,-16.577528
363,145.197841,-15.862697
582,145.203,-38.14
565,145.219495,-15.617464
187,145.223767,-37.816955
387,145.22772,-15.75467
328,145.23254,-15.79865
393,145.232747,-15.729089
579,145.249,-37.895
594,145.252,-38.041
5,145.2556937,-15.4715549
587,145.264,-37.782
250,145.264222,-15.285514
265,145.27003,-16.51225
584,145.273,-37.894
366,145.27518,-16.59298
595,145.276,-38.134
458,145.280676,-16.550487
207,145.281813,-38.103572
449,145.285257,-15.747126
423,145.29477,-15.749125
239,145.298533,-16.58612
68,145.306763,-38.020675
195,145.306913,-37.893703
465,145.315762,-15.80658
520,145.32047,-15.95093
297,145.32137,-16.58165
414,145.32568,-16.63587
379,145.327151,-16.392349
296,145.32869,-16.34648
386,145.329872,-16.469997
572,145.334538,-16.332249
305,145.337064,-16.262624
64,145.337457,-38.028063
180,145.338789,-16.355193
172,145.355659,-37.811187
502,145.355728,-15.905241
447,145.364815,-16.576799
266,145.374569,-17.17484
384,145.38144,-16.534571
144,145.398616,-16.918162
501,145.401148,-16.495689
194,145.407638,-37.875063
552,145.4117,-16.20444
452,145.42847,-17.27183
474,145.42854,-16.5979
213,145.430806,-16.138423
335,145.43602,-16.24577
165,145.437711,-16.081848
484,145.44072,-16.25654
521,145.44292,-16.17006
340,145.45399,-17.19646
243,145.476872,-17.453796
562,145.4781,-16.65872
448,145.488375,-17.265697
105,145.49243,-37.92825
161,145.4977,-16.8294
235,145.504821,-17.329505
268,145.515748,-16.680181
353,145.541167,-16.942154
523,145.56805,-17.00175
394,145.568578,-16.731146
487,145.5696,-16.66831
339,145.57,-17.153
220,145.571276,-17.536112
341,145.57169,-17.28699
163,145.586096,-17.145842
110,145.588027,-16.923171
164,145.591035,-17.019683
275,145.592289,-17.105471
511,145.610399,-17.49546
138,145.61287,-37.781547
478,145.615,-17.7497
491,145.624662,-16.837147
123,145.626708,-17.281317
303,145.631,-17.0169
15,145.63109,-17.121876
435,145.635946,-16.803974
106,145.637288,-17.759982
459,145.639625,-16.84816
482,145.64034,-17.17343
23,145.678137,-16.962921
35,145.68242,-16.805562
571,145.68376,-17.21072
496,145.69592,-16.94212
313,145.70042,-17.41217
462,145.72328,-17.17724
426,145.74106,-16.87359
381,145.746834,-17.388601
539,145.74829,-17.21041
281,145.754318,-16.898832
383,145.76382,-17.39511
199,145.773918,-17.239102
374,145.7996,-18.6001
546,145.814169,-18.151581
431,145.825148,-17.191681
111,145.826998,-16.993397
347,145.85323,-17.44886
283,145.85354,-17.263982
48,145.872064,-17.343578
120,145.904342,-41.052632
166,145.912471,-17.521402
33,145.922817,-17.882452
269,145.942015,-17.273016
569,145.944162,-18.415721
558,145.956,-18.419
508,145.965545,-18.52787
189,145.969188,-18.263214
560,145.970025,-18.244454
385,145.99098,-17.83252
548,146.000664,-18.451686
544,146.004351,-18.275618
69,146.010428,-17.517816
480,146.045397,-18.32777
557,146.05734,-17.93872
528,146.06044,-17.45064
467,146.06686,-18.35656
472,146.068014,-17.867687
574,146.072017,-18.422713
561,146.080024,-18.376673
310,146.08464,-17.86942
223,146.1,-18.4
499,146.132111,-18.581278
436,146.2387,-19.0079
526,146.505103,-19.13623
59,146.67685,-38.564583
8,146.7451457,-19.2902996
37,146.776917,-19.298155
117,147.053145,-19.508022
527,148.1009,-20.9105
42,148.453033,-37.708667
498,148.476,-20.7924
370,148.50012,-21.14467
550,148.511082,-21.178732
567,148.51656,-21.11516
295,148.582899,-20.268761
191,148.63872,-21.075298
425,148.6783,-20.34078
437,148.728,-20.351
188,148.741917,-21.155757
1,149.1063431,-35.2788736
225,149.13,-35.3
70,149.155992,-21.163411
230,150.07,-36.33
229,150.13,-36.05
6,150.1601828,-35.7541218
254,150.2664,-35.68126
282,150.31947,-35.62637
299,150.32397,-35.56995
73,150.328705,-35.593095
344,150.33876,-35.46832
441,150.34357,-35.41122
41,150.399099,-35.249564
2,150.413202,-33.5397463
320,150.42052,-35.22
293,150.46284,-34.71514
78,150.493617,-34.866744
532,150.55888,-23.37114
184,150.580557,-35.057762
240,150.5874,-35.0186
262,150.59503,-35.04565
150,150.660965,-35.124173
3,150.6714915,-35.1447645
202,150.712458,-33.703739
349,150.78438,-34.78222
221,150.789353,-33.880799
155,150.809587,-34.423703
46,150.8535,-34.573003
178,150.865923,-34.417873
11,150.8732173,-34.4099532
227,150.88,-34.42
337,150.9335,-34.30197
34,150.943341,-33.724741
228,151,-33.75
350,151.02594,-34.14032
224,151.05,-34.03
75,151.05205,-33.950854
597,151.061074,-33.999418
107,151.072766,-33.837113
129,151.09207,-33.858428
273,151.09514,-23.837004
81,151.100262,-33.732981
173,151.10316,-34.037917
152,151.129178,-33.72511
218,151.152254,-33.921604
25,151.156128,-33.891842
17,151.185902,-33.912027
348,151.21599,-24.28435
226,151.22,-33.22
157,151.225333,-33.909538
368,151.23715,-33.43857
205,151.242263,-33.205228
10,151.257009,-23.8944743
322,151.25751,-33.13489
12,151.291122,-33.799612
209,151.292222,-33.799728
270,151.30321,-24.50108
90,151.3035,-33.665787
162,151.328095,-33.392567
53,151.3293,-33.276478
76,151.3428,-33.174442
206,151.346787,-33.5364
130,151.349228,-33.068131
455,151.3514,-24.687
531,151.439722,-24.194028
411,151.44618,-33.39749
174,151.447845,-33.35957
359,151.45763,-33.419
233,151.47952,-24.51866
505,151.49503,-24.41454
412,151.541078,-26.842232
434,151.5541,-24.625925
424,151.586056,-24.422008
543,151.612685,-24.355634
51,151.625642,-32.828019
330,151.63555,-24.304683
186,151.670265,-32.90196
80,151.689583,-32.924686
60,151.726187,-32.958979
256,151.72986,-32.23497
31,151.784339,-32.227986
28,151.801075,-32.314214
418,151.827778,-24.184808
291,151.834722,-24.180689
410,151.845278,-24.599722
403,151.911662,-26.834582
510,151.945278,-25.255097
445,151.984444,-25.542081
272,151.996431,-24.671028
284,151.997001,-27.563489
369,152.034635,-27.68952
375,152.0525,-25.565489
354,152.087368,-27.304945
413,152.099722,-25.439583
559,152.127,-31.7868
214,152.176455,-26.871988
427,152.177839,-27.369348
389,152.192836,-24.937506
483,152.233187,-28.024391
516,152.261077,-27.445076
429,152.313,-32.539
263,152.3212,-27.8826
555,152.33037,-26.11145
351,152.336944,-26.120417
358,152.3385,-26.13262
457,152.362,-29.526
236,152.371911,-28.266926
201,152.373542,-27.978062
43,152.377356,-27.976167
479,152.3905,-28.0403
469,152.390967,-28.267283
139,152.39448,-28.047295
494,152.402959,-28.295923
554,152.407073,-28.09899
485,152.41621,-29.15852
573,152.417825,-28.082461
318,152.42473,-26.19581
314,152.44266,-28.29187
334,152.4563,-31.96337
566,152.45894,-32.40094
371,152.46654,-29.11686
468,152.47214,-29.60959
234,152.472693,-28.206489
258,152.474299,-28.246058
30,152.481084,-28.257927
39,152.509408,-27.549755
416,152.52529,-27.27244
326,152.532222,-25.398464
408,152.54532,-32.05942
430,152.55171,-25.43602
302,152.57143,-28.52013
260,152.586667,-25.962364
490,152.58913,-26.82226
248,152.59828,-31.29502
530,152.617731,-28.003758
428,152.617847,-27.999856
