"","NSWID","FID","species","longitude","latitude","sample_lib_NSW","SeedlingNumb","Pop","ID","IID","height","rust_infection","LeavesShootInfect","LeavesShootRustSchore1.5","MinorBranchDB","MajorBranchDB","CrownDensity","Notes"
"1","NSW1071070","NSW_1071070","Melaleuca quinquenervia",152.9682061,-31.19779728,"NSW_1071070_S82",12,"p93a6ddc0","NSW_1071070_12",12,12,"0A","1-5",NA,"no","no",55,""
"2","NSW1071075","NSW_1071075","Melaleuca quinquenervia",153.5706189,-28.60642035,"NSW_1071075_S126",12,"p328a8440","NSW_1071075_12",24,7,"0A","50-90",NA,"yes","no",35,""
"3","NSW1071080","NSW_1071080","Melaleuca quinquenervia",153.5706227,-28.60644177,"NSW_1071080_S20",12,"p328a8440","NSW_1071080_12",36,13,"0A","10-50",NA,"no","no",75,""
"4","NSW1071090","NSW_1071090","Melaleuca quinquenervia",153.5464416,-28.47684672,"NSW_1071090_S75",12,"p666c7140","NSW_1071090_12",60,12,"0A","10-50",NA,"no","no",60,""
"5","NSW1071110","NSW_1071110","Melaleuca quinquenervia",152.9677057,-31.1994082,"NSW_1071110_S118",12,"p93a6ddc0","NSW_1071110_12",72,9,"0A","10-50",NA,"no","no",50,""
"6","NSW1071113","NSW_1071113","Melaleuca quinquenervia",152.9663093,-31.25563895,"NSW_1071113_S137",12,"p93a6ddc0","NSW_1071113_12",84,17,"0A","10-50",NA,"no","no",44,""
"7","NSW1071115","NSW_1071115","Melaleuca quinquenervia",152.9681876,-31.1977717,"NSW_1071115_S134",12,"p93a6ddc0","NSW_1071115_12",96,11,"0A","1-5",NA,"yes","no",50,""
"8","NSW1071118","NSW_1071118","Melaleuca quinquenervia",152.9661151,-31.25555562,"NSW_1071118_S136",12,"p93a6ddc0","NSW_1071118_12",108,12,"0A","10-50",NA,"no","no",55,""
"9","NSW1071123","NSW_1071123","Melaleuca quinquenervia",153.5734019,-28.60559014,"NSW_1071123_S127",12,"p328a8440","NSW_1071123_12",120,10,"0A","50-90",NA,"no","no",55,""
"10","NSW1071128","NSW_1071128","Melaleuca quinquenervia",153.5453594,-28.47762564,"NSW_1071128_S74",12,"p666c7140","NSW_1071128_12",132,17,"0",NA,NA,"yes","no",40,"fallen branch; height of nearest tree measured"
"11","NSW1071133","NSW_1071133","Melaleuca quinquenervia",153.5453788,-28.47766614,"NSW_1071133_S78",12,"p666c7140","NSW_1071133_12",144,13,"0A","10-50",NA,"yes","no",35,"fallen branch; height of nearest tree measured"
"12","NSW1071138","NSW_1071138","Melaleuca quinquenervia",153.1635112,-30.18978066,"NSW_1071138_S86",12,"pb659e150","NSW_1071138_12",156,10,"0A","90+",NA,"yes","no",55,""
"13","NSW1071143","NSW_1071143","Melaleuca quinquenervia",153.5739313,-28.6042916,NA,NA,"328a8440-3f34-11eb-a51f-b73bba8b9f7f",NA,NA,6,"0A","90+",NA,"no","no",45,""
"14","NSW1071143","NSW_1071143","Melaleuca quinquenervia",153.6220029,-28.64923983,"NSW_1071143_S18",12,"p1bff81d0","NSW_1071143_12",180,NA,NA,NA,NA,NA,NA,NA,NA
"15","NSW1071148","NSW_1071148","Melaleuca quinquenervia",153.1615244,-30.18909682,"NSW_1071148_S122",12,"pb659e150","NSW_1071148_12",192,11,"0A","10-50",NA,"yes","no",50,""
"16","NSW1074318","NSW_1074318","Melaleuca quinquenervia",153.2605053,-29.85196215,"NSW_1074318_S85",12,"p8a9b6b20","NSW_1074318_12",204,10,"0A","90+",NA,"no","no",45,""
"17","NSW1074324","NSW_1074324","Melaleuca quinquenervia",151.5521833,-33.2845166,"NSW_1074324_S57",12,"p0c317820","NSW_1074324_12",228,NA,NA,NA,NA,NA,NA,NA,NA
"18","NSW1074324","NSW_1074324","Melaleuca quinquenervia",151.5553762,-33.2802966,NA,NA,"0c317820-1195-11eb-fb0d-4fec86b22e66",NA,NA,16,"0A","1-5",NA,"yes","no",55,""
"19","NSW1074329","NSW_1074329","Melaleuca quinquenervia",152.9661873,-31.25654649,"NSW_1074329_S83",12,"p93a6ddc0","NSW_1074329_12",252,11,"0A","50-90",NA,"yes","no",50,""
"20","NSW1074334","NSW_1074334","Melaleuca quinquenervia",152.966154,-31.25437969,"NSW_1074334_S138",12,"p93a6ddc0","NSW_1074334_12",264,17,"0A","5-10",NA,"no","no",40,""
"21","NSW1074339","NSW_1074339","Melaleuca quinquenervia",152.9661785,-31.25441977,"NSW_1074339_S135",12,"p93a6ddc0","NSW_1074339_12",276,11,"0A","1-5",NA,"no","no",50,""
"22","NSW1074398","NSW_1074398","Melaleuca quinquenervia",153.1868368,-30.17570688,"NSW_1074398_S22",12,"pb659e150","NSW_1074398_12",288,12,"0A","90+",NA,"yes","no",45,""
"23","NSW1074423","NSW_1074423","Melaleuca quinquenervia",151.5481722,-33.2049692,"NSW_1074423_1_S169",12,"pd135bc30","NSW_1074423_12",300,4,"0",NA,NA,"no","no",35,""
"24","NSW1074423","NSW_1074423","Melaleuca quinquenervia",151.5481722,-33.2049692,"NSW_1074423_S169",12,"pd135bc30","NSW_1074423_12",300,4,"0",NA,NA,"no","no",35,""
"25","NSW1074428","NSW_1074428","Melaleuca quinquenervia",151.5481722,-33.2049692,"NSW_1074428_S162",12,"pd135bc30","NSW_1074428_12",324,NA,NA,NA,NA,NA,NA,NA,NA
"26","NSW1074428","NSW_1074428","Melaleuca quinquenervia",151.5481819,-33.20493702,NA,NA,"d135bc30-11b3-11eb-fb0d-4fec86b22e66",NA,NA,14,"0A","5-10",NA,"no","no",60,""
"27","NSW1074429","NSW_1074429","Melaleuca quinquenervia",151.5485014,-33.20594131,"NSW_1074429_S158",12,"pd135bc30","NSW_1074429_12",336,10,"0A","10-50",NA,"no","no",40,""
"28","NSW1074433","NSW_1074433","Melaleuca quinquenervia",151.5515136,-33.28540365,"NSW_1074433_S155",12,"p0c317820","NSW_1074433_12",348,21,"0A","1-5",NA,"no","no",70,""
"29","NSW1074453","NSW_1074453","Melaleuca quinquenervia",151.5552973,-33.2792015,"NSW_1074453_S52",12,"p0c317820","NSW_1074453_12",360,14,"0A","90+",NA,"yes","no",55,""
"30","NSW1074458","NSW_1074458","Melaleuca quinquenervia",151.5499654,-33.2087521,"NSW_1074458_S32",12,"pd135bc30","NSW_1074458_12",372,13,"0A","1-5",NA,"yes","no",30,""
"31","NSW1075704","NSW_1075704",NA,151.7839244,-32.7624922,"NSW_1075704_S181",NA,"cd809670-90dd-11ea-c60a-73655d76e076",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","NSW1075704","NSW_1075704",NA,151.7839244,-32.7624922,"NSW_1075704_1_S181",NA,"cd809670-90dd-11ea-c60a-73655d76e076",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","NSW1075705","NSW_1075705",NA,151.7834637,-32.7619675,"NSW_1075705_S177",NA,"cd809670-90dd-11ea-c60a-73655d76e076",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","NSW1075705","NSW_1075705",NA,151.7834637,-32.7619675,"NSW_1075705_1_S177",NA,"cd809670-90dd-11ea-c60a-73655d76e076",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","NSW1075706","NSW_1075706",NA,151.7841001,-32.7629435,"NSW_1075706_S178",NA,"cd809670-90dd-11ea-c60a-73655d76e076",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","NSW1075706","NSW_1075706",NA,151.7841001,-32.7629435,"NSW_1075706_1_S178",NA,"cd809670-90dd-11ea-c60a-73655d76e076",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","NSW1075707","NSW_1075707",NA,151.7834591,-32.7619695,"NSW_1075707_S182",NA,"cd809670-90dd-11ea-c60a-73655d76e076",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","NSW1075707","NSW_1075707",NA,151.7834591,-32.7619695,"NSW_1075707_1_S182",NA,"cd809670-90dd-11ea-c60a-73655d76e076",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","NSW1075708","NSW_1075708",NA,151.7842473,-32.7626059,"NSW_1075708_S184",NA,"cd809670-90dd-11ea-c60a-73655d76e076",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
